file,method,cyclomatic,halstead_volume,halstead_difficulty,halstead_effort,operators_distinct,operands_distinct,operators_total,operands_total
WebApp\Controllers\AdminController.cs,AdminController.LoadBatch,1,11.60964047443681,1,11.60964047443681,2,3,2,3
WebApp\Controllers\AdminController.cs,AdminController.LoadBatch,7,815.9932061133912,14.744897959183673,12031.736559529085,17,49,50,85
WebApp\Controllers\AdminController.cs,AdminController.Forecast,2,127.37720526058406,3.8,484.03337999021943,6,15,10,19
WebApp\Controllers\AdminController.cs,AdminController.UserSegmentation,2,127.37720526058406,3.8,484.03337999021943,6,15,10,19
WebApp\Controllers\HomeController.cs,HomeController.Error,1,19.651484454403228,1,19.651484454403228,2,5,2,5
WebApp\Controllers\HomeController.cs,HomeController.AccessDenied,1,19.651484454403228,1,19.651484454403228,2,5,2,5
WebApp\Controllers\SellerController.cs,SellerController.SellerController,1,110.44611534953322,3.6923076923076925,407.8010412905842,6,13,10,16
WebApp\Controllers\SellerController.cs,SellerController.Index,1,11.60964047443681,1,11.60964047443681,2,3,2,3
WebApp\Controllers\SellerController.cs,SellerController.Order,1,266.2737001211542,6.125,1630.9264132420694,7,20,21,35
WebApp\Controllers\SellerController.cs,SellerController.GetCartFromSession,6,794.1744752985586,16.42105263157895,13041.180857534226,16,38,60,78
WebApp\Controllers\SellerController.cs,SellerController.SaveCartToSession,2,556.28031642502,12.142857142857142,6754.832413732386,10,28,38,68
WebApp\Controllers\SellerController.cs,SellerController.AddToCart,3,450.034368387919,11.839285714285714,5328.085468592683,13,28,33,51
WebApp\Controllers\SellerController.cs,SellerController.RemoveFromCart,3,302.14829520647913,9.120000000000001,2755.59245228309,12,25,20,38
WebApp\Controllers\SellerController.cs,SellerController.UpdateCartItem,4,417.38083532105526,11.064516129032258,4618.116984358772,14,31,27,49
WebApp\Controllers\SellerController.cs,SellerController.SubmitOrder,5,1074.6435323122967,18.166666666666668,19522.690837006725,19,57,63,109
WebApp\Controllers\StorekeeperController.cs,StorekeeperController.StorekeeperController,1,136.16184010614157,4,544.6473604245663,6,15,11,20
WebApp\Controllers\StorekeeperController.cs,StorekeeperController.Index,1,11.60964047443681,1,11.60964047443681,2,3,2,3
WebApp\Controllers\StorekeeperController.cs,StorekeeperController.Products,1,205.13385445731566,6.533333333333333,1340.207849121129,7,15,18,28
WebApp\Controllers\StorekeeperController.cs,StorekeeperController.LoadBatch,1,11.60964047443681,1,11.60964047443681,2,3,2,3
WebApp\Controllers\StorekeeperController.cs,StorekeeperController.LoadBatch,7,815.9932061133912,14.744897959183673,12031.736559529085,17,49,50,85
WebApp\Infrastructure\JsonConverters.cs,ProductJsonConverter.Read,1,289.50654514090263,6.909090909090909,2000.2270391553272,8,22,21,38
WebApp\Infrastructure\JsonConverters.cs,ProductJsonConverter.Write,1,220.4183328392555,4.5,991.8824977766498,4,16,15,36
WebApp2\Infrastructure\JsonConverters.cs,ProductJsonConverter.Read,1,289.50654514090263,6.909090909090909,2000.2270391553272,8,22,21,38
WebApp2\Infrastructure\JsonConverters.cs,ProductJsonConverter.Write,1,220.4183328392555,4.5,991.8824977766498,4,16,15,36
WebApp2\Application\DTOs\CartStorageService.cs,CartStorageService.GetCart,2,118.53642239625984,10,1185.3642239625983,10,7,15,14
WebApp2\Application\DTOs\CartStorageService.cs,CartStorageService.AddToCart,3,280,17.56666666666667,4918.666666666668,17,15,25,31
WebApp2\Application\DTOs\CartStorageService.cs,CartStorageService.UpdateCartItem,3,178.8135375281251,8.884615384615385,1588.6895064998807,11,13,18,21
WebApp2\Application\DTOs\CartStorageService.cs,CartStorageService.RemoveFromCart,3,167.37179237410948,9.625,1610.9535016008037,11,12,16,21
WebApp2\Application\DTOs\CartStorageService.cs,CartStorageService.ClearCart,2,57.3594000115385,4.5,258.1173000519232,6,6,7,9
WebApp2\Application\DTOs\CartStorageService.cs,CartStorageService.CartExists,2,62.907475208398566,5.25,330.26424484409245,7,6,8,9
WebApp2\Application\Mappings\MappingProfile.cs,ProductProfile.ProductProfile,1,19.651484454403228,1.5,29.47722668160484,3,4,3,4
WebApp2\Controllers\Api\V1\AdminController.cs,AdminController.AdminController,1,76.14709844115208,2.8,213.21187563522582,4,10,6,14
WebApp2\Controllers\Api\V1\AdminController.cs,AdminController.GetForecast,2,164.5153901349382,4.2368421052631575,697.0257318875013,7,19,12,23
WebApp2\Controllers\Api\V1\AdminController.cs,AdminController.GetUserSegmentation,2,164.5153901349382,4.2368421052631575,697.0257318875013,7,19,12,23
WebApp2\Controllers\Api\V1\AdminController.cs,AdminController.LoadProductsBatch,5,430.042112555529,11.516129032258064,4952.420457494318,17,31,35,42
WebApp2\Controllers\Api\V1\AnalysisController.cs,AnalysisController.AnalysisController,1,18.094737505048094,1.25,22.61842188131012,2,4,2,5
WebApp2\Controllers\Api\V1\AnalysisController.cs,AnalysisController.GetForecast,2,135.7068586817104,4.15625,564.0316313958589,7,16,11,19
WebApp2\Controllers\Api\V1\AnalysisController.cs,AnalysisController.GetUserSegmentation,2,135.7068586817104,4.15625,564.0316313958589,7,16,11,19
WebApp2\Controllers\Api\V1\AuthController.cs,AuthController.AuthController,1,51.89147427955946,2.857142857142857,148.2613550844556,4,7,5,10
WebApp2\Controllers\Api\V1\AuthController.cs,AuthController.Login,3,1018.4121846913044,14.262711864406779,14525.319549453096,17,59,64,99
WebApp2\Controllers\Api\V1\AuthController.cs,AuthController.Logout,2,312.7544105211681,6.387096774193549,1997.5926865545578,11,31,22,36
WebApp2\Controllers\Api\V1\CartController.cs,CartController.CartController,1,60.94436251225965,1.3,79.22767126593754,2,10,4,13
WebApp2\Controllers\Api\V1\CartController.cs,CartController.GetCart,2,325.3715058335023,6.7857142857142865,2207.878075298766,10,28,24,38
WebApp2\Controllers\Api\V1\CartController.cs,CartController.AddToCart,4,544.3497074644085,9.01388888888889,4906.707779783349,11,36,39,59
WebApp2\Controllers\Api\V1\CartController.cs,CartController.UpdateCartItem,4,407.1739523509744,8.433333333333334,3433.833664826551,11,30,30,46
WebApp2\Controllers\Api\V1\CartController.cs,CartController.RemoveFromCart,3,265,7.272727272727273,1927.2727272727275,10,22,21,32
WebApp2\Controllers\Api\V1\CartController.cs,CartController.GetCurrentUserId,3,185.44061258437526,8.357142857142858,1549.7536908837076,13,14,21,18
WebApp2\Controllers\Api\V1\OrdersController.cs,OrdersController.OrdersController,1,76.14709844115208,2.8,213.21187563522582,4,10,6,14
WebApp2\Controllers\Api\V1\OrdersController.cs,OrdersController.CreateOrder,5,442.2139611096211,9.85483870967742,4357.947261902879,13,31,34,47
WebApp2\Controllers\Api\V1\OrdersController.cs,OrdersController.GetCartFromSession,1,167.37179237410948,6.133333333333334,1026.5469932278716,8,15,14,23
WebApp2\Controllers\Api\V1\OrdersController.cs,OrdersController.ClearCart,1,34.86917501586544,2.8,97.63369004442322,4,5,4,7
WebApp2\Controllers\Api\V1\OrdersController.cs,OrdersController.GetCurrentUserId,3,185.44061258437526,8.357142857142858,1549.7536908837076,13,14,21,18
WebApp2\Controllers\Api\V1\ProductsController.cs,ProductsController.ProductsController,1,60.94436251225965,1.3,79.22767126593754,2,10,4,13
WebApp2\Controllers\Api\V1\ProductsController.cs,ProductsController.GetProducts,3,765.0651165456123,10.291666666666666,7873.795157781927,13,48,53,76
WebApp2\Controllers\Api\V1\ProductsController.cs,ProductsController.GetProduct,3,388.24685444007076,7.451612903225806,2893.0652701824624,11,31,30,42
